,date,continent,location,male_smokers
494,2020Q3,Africa,Egypt,4609.2
495,2020Q3,Africa,Equatorial Guinea,0.0
496,2020Q3,Africa,Eritrea,1048.8
497,2020Q3,Africa,Eswatini,1518.0
498,2020Q3,Africa,Ethiopia,782.0
499,2020Q3,Africa,Gabon,0.0
500,2020Q3,Africa,Gambia,2870.4
501,2020Q3,Africa,Ghana,708.4
502,2020Q3,Africa,Guinea,0.0
503,2020Q3,Africa,Guinea-Bissau,0.0
504,2020Q3,Africa,Kenya,1876.8
505,2020Q3,Africa,Lesotho,4958.8
506,2020Q3,Africa,Liberia,1665.2
507,2020Q3,Africa,Libya,0.0
508,2020Q3,Africa,Madagascar,0.0
509,2020Q3,Africa,Malawi,2272.4
510,2020Q3,Africa,Mali,2116.0
511,2020Q3,Africa,Mauritania,0.0
512,2020Q3,Africa,Mauritius,3744.4
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,4333.2
515,2020Q3,Africa,Mozambique,2677.2000000000003
516,2020Q3,Africa,Namibia,3146.4
517,2020Q3,Africa,Niger,1416.8
518,2020Q3,Africa,Nigeria,993.6
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,1932.0
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,0.0
523,2020Q3,Africa,Senegal,1527.2
524,2020Q3,Africa,Seychelles,3284.4
525,2020Q3,Africa,Sierra Leone,3799.6
526,2020Q3,Africa,Somalia,0.0
527,2020Q3,Africa,South Africa,3054.4
528,2020Q3,Africa,South Sudan,0.0
529,2020Q3,Africa,Sudan,0.0
530,2020Q3,Africa,Tanzania,2456.4
531,2020Q3,Africa,Togo,1306.3999999999999
532,2020Q3,Africa,Tunisia,6053.599999999999
533,2020Q3,Africa,Uganda,1536.3999999999999
534,2020Q3,Africa,Zambia,2272.4
535,2020Q3,Africa,Zimbabwe,2824.4
536,2020Q3,Asia,Afghanistan,0.0
537,2020Q3,Asia,Armenia,4793.2
538,2020Q3,Asia,Azerbaijan,3910.0
539,2020Q3,Asia,Bahrain,3459.2000000000003
540,2020Q3,Asia,Bangladesh,4112.400000000001
541,2020Q3,Asia,Bhutan,0.0
542,2020Q3,Asia,Brunei,2842.7999999999997
543,2020Q3,Asia,Cambodia,3100.4
544,2020Q3,Asia,China,4452.8
545,2020Q3,Asia,Georgia,5106.0
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,1895.2
548,2020Q3,Asia,Indonesia,7001.2
