,date,continent,location,diabetes_prevalence
507,2020Q3,Africa,Libya,959.56
508,2020Q3,Africa,Madagascar,362.48
509,2020Q3,Africa,Malawi,362.48
510,2020Q3,Africa,Mali,222.64
511,2020Q3,Africa,Mauritania,222.64
512,2020Q3,Africa,Mauritius,2025.84
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,656.88
515,2020Q3,Africa,Mozambique,303.59999999999997
516,2020Q3,Africa,Namibia,362.48
517,2020Q3,Africa,Niger,222.64
518,2020Q3,Africa,Nigeria,222.64
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,393.76000000000005
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,222.64
523,2020Q3,Africa,Senegal,222.64
524,2020Q3,Africa,Seychelles,970.6
525,2020Q3,Africa,Sierra Leone,222.64
526,2020Q3,Africa,Somalia,556.6
527,2020Q3,Africa,South Africa,507.84
528,2020Q3,Africa,South Sudan,959.56
529,2020Q3,Africa,Sudan,1441.64
530,2020Q3,Africa,Tanzania,529.0
531,2020Q3,Africa,Togo,565.8000000000001
532,2020Q3,Africa,Tunisia,783.8399999999999
533,2020Q3,Africa,Uganda,230.0
534,2020Q3,Africa,Zambia,362.48
535,2020Q3,Africa,Zimbabwe,167.44
536,2020Q3,Asia,Afghanistan,882.28
537,2020Q3,Asia,Armenia,654.12
538,2020Q3,Asia,Azerbaijan,654.12
539,2020Q3,Asia,Bahrain,1519.84
540,2020Q3,Asia,Bangladesh,770.96
541,2020Q3,Asia,Bhutan,897.0
542,2020Q3,Asia,Brunei,1176.6799999999998
543,2020Q3,Asia,Cambodia,368.0
544,2020Q3,Asia,China,896.08
545,2020Q3,Asia,Georgia,654.12
546,2020Q3,Asia,Hong Kong,766.36
547,2020Q3,Asia,India,955.8800000000001
548,2020Q3,Asia,Indonesia,581.44
549,2020Q3,Asia,Iran,882.28
550,2020Q3,Asia,Iraq,812.36
551,2020Q3,Asia,Israel,620.08
552,2020Q3,Asia,Japan,526.24
553,2020Q3,Asia,Jordan,1081.0
554,2020Q3,Asia,Kazakhstan,654.12
555,2020Q3,Asia,Kuwait,1457.28
556,2020Q3,Asia,Kyrgyzstan,654.12
557,2020Q3,Asia,Laos,368.0
558,2020Q3,Asia,Lebanon,1169.3200000000002
559,2020Q3,Asia,Malaysia,1540.08
560,2020Q3,Asia,Maldives,845.4799999999999
561,2020Q3,Asia,Mongolia,443.44000000000005
562,2020Q3,Asia,Myanmar,424.12
563,2020Q3,Asia,Nepal,667.92
564,2020Q3,Asia,North Korea,368.0
565,2020Q3,Asia,Oman,1160.12
566,2020Q3,Asia,Pakistan,768.1999999999999
567,2020Q3,Asia,Palestine,974.28
568,2020Q3,Asia,Philippines,650.44
569,2020Q3,Asia,Qatar,1519.84
