,date,continent,location,total_cases_per_million
492,2020Q3,Africa,Democratic Republic of Congo,8730.749
493,2020Q3,Africa,Djibouti,428745.659
494,2020Q3,Africa,Egypt,77579.83899999999
495,2020Q3,Africa,Equatorial Guinea,260787.996
496,2020Q3,Africa,Eritrea,7371.804
497,2020Q3,Africa,Eswatini,262241.199
498,2020Q3,Africa,Ethiopia,25957.478
499,2020Q3,Africa,Gabon,294867.683
500,2020Q3,Africa,Gambia,61378.531
501,2020Q3,Africa,Ghana,105877.876
502,2020Q3,Africa,Guinea,54590.438
503,2020Q3,Africa,Guinea-Bissau,91254.179
504,2020Q3,Africa,Kenya,43476.729
505,2020Q3,Africa,Lesotho,32894.939
506,2020Q3,Africa,Liberia,21095.332
507,2020Q3,Africa,Libya,148514.226
508,2020Q3,Africa,Madagascar,36251.628
509,2020Q3,Africa,Malawi,19847.421
510,2020Q3,Africa,Mali,10626.149
511,2020Q3,Africa,Mauritania,126056.713
512,2020Q3,Africa,Mauritius,24788.426
513,2020Q3,Africa,Mayotte,879498.811
514,2020Q3,Africa,Morocco,120385.065
515,2020Q3,Africa,Mozambique,9173.11
516,2020Q3,Africa,Namibia,181250.744
517,2020Q3,Africa,Niger,4036.783
518,2020Q3,Africa,Nigeria,19535.542
519,2020Q3,Africa,Reunion,136542.644
520,2020Q3,Africa,Rwanda,19137.892
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,343642.944
523,2020Q3,Africa,Senegal,61295.409999999996
524,2020Q3,Africa,Seychelles,107481.194
525,2020Q3,Africa,Sierra Leone,20341.462
526,2020Q3,Africa,Somalia,16970.698
527,2020Q3,Africa,South Africa,785980.201
528,2020Q3,Africa,South Sudan,20414.045
529,2020Q3,Africa,Sudan,23847.872
530,2020Q3,Africa,Tanzania,714.932
531,2020Q3,Africa,Togo,12073.863
532,2020Q3,Africa,Tunisia,30430.525
533,2020Q3,Africa,Uganda,5266.031
534,2020Q3,Africa,Zambia,39112.594
535,2020Q3,Africa,Zimbabwe,26239.822
536,2020Q3,Asia,Afghanistan,82547.838
537,2020Q3,Asia,Armenia,1334633.4780000001
538,2020Q3,Asia,Azerbaijan,286799.636
539,2020Q3,Asia,Bahrain,2944106.825
540,2020Q3,Asia,Bangladesh,145155.224
541,2020Q3,Asia,Bhutan,18622.114
542,2020Q3,Asia,Brunei,29258.220999999998
543,2020Q3,Asia,Cambodia,1299.149
544,2020Q3,Asia,China,5726.625
545,2020Q3,Asia,Georgia,44032.863
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,184585.691
548,2020Q3,Asia,Indonesia,49944.515
549,2020Q3,Asia,Iran,350517.391
550,2020Q3,Asia,Iraq,379985.458
551,2020Q3,Asia,Israel,991432.531
552,2020Q3,Asia,Japan,37872.471
553,2020Q3,Asia,Jordan,18462.546
554,2020Q3,Asia,Kazakhstan,503455.463
555,2020Q3,Asia,Kuwait,1631764.123
556,2020Q3,Asia,Kyrgyzstan,0.0
557,2020Q3,Asia,Laos,255.923
558,2020Q3,Asia,Lebanon,210909.833
559,2020Q3,Asia,Malaysia,25217.236
560,2020Q3,Asia,Maldives,1053465.267
561,2020Q3,Asia,Mongolia,7784.607
562,2020Q3,Asia,Myanmar,3015.391
563,2020Q3,Asia,Nepal,102998.976
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,1566127.221
566,2020Q3,Asia,Pakistan,109374.10800000001
567,2020Q3,Asia,Palestine,410074.066
568,2020Q3,Asia,Philippines,127400.876
569,2020Q3,Asia,Qatar,3880429.934
570,2020Q3,Asia,Saudi Arabia,723640.453
571,2020Q3,Asia,Singapore,869133.562
572,2020Q3,Asia,South Korea,30704.802
573,2020Q3,Asia,Sri Lanka,12165.82
574,2020Q3,Asia,Syria,7784.188
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,73262.884
577,2020Q3,Asia,Thailand,4314.47
578,2020Q3,Asia,Timor,1749.805
579,2020Q3,Asia,Turkey,435923.712
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,650166.9619999999
582,2020Q3,Asia,Uzbekistan,0.0
583,2020Q3,Asia,Vietnam,728.47
584,2020Q3,Asia,Yemen,4867.371
585,2020Q3,Europe,Albania,238509.55299999999
586,2020Q3,Europe,Andorra,1286775.286
587,2020Q3,Europe,Austria,231526.921
588,2020Q3,Europe,Belarus,673256.704
589,2020Q3,Europe,Belgium,632789.525
590,2020Q3,Europe,Bosnia and Herzegovina,444582.238
591,2020Q3,Europe,Bulgaria,176017.542
592,2020Q3,Europe,Croatia,184524.663
593,2020Q3,Europe,Cyprus,133891.815
594,2020Q3,Europe,Czechia,220856.031
595,2020Q3,Europe,Denmark,258194.685
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,523584.834
598,2020Q3,Europe,Faeroe Islands,557354.533
599,2020Q3,Europe,Finland,134368.57200000001
600,2020Q3,Europe,France,157685.589
601,2020Q3,Europe,Germany,251863.892
602,2020Q3,Europe,Gibraltar,659760.686
603,2020Q3,Europe,Greece,73327.693
604,2020Q3,Europe,Guernsey,367367.263
605,2020Q3,Europe,Hungary,73130.307
